WO,Machine_categori,Machine_description,Instruction,Short_description,Technicians_description,Spareparts,Costumer_mistake_mads,Invoiced
WO042457,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Kommer fortsat vand bagved under grumseskuffen ,Kommer fortsat vand bagved under grumseskuffen,Han nævnte at hvis vi rykkede flyttede på maskine skule vi være obs på at deres afløbsslange er kort og kan falde af 14 4 KAR der er skiftet mælkepumpe 27 3 24 Muligvis dårlig samling af slange eller kaffeventil utæt Kunde har IKKE serviceaftale HKN lynkobling 120694 lånt fra et modul ,120694,Nej,Ja
WO042470,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Melder vandflowfejl ved alle drikke Har oplevet det tidligere og mente at vand var åbent for ,Melder vandflowfejl ved alle drikke Har oplevet det tidligere og mente at vand var åbent for,MB se meddelelsen for fejlkoden under hændelser der bør være være løsningsforslag i fejlkodedokumentet ,132102;132878,Nej,Nej
WO042446,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Stopper i rengøringsprocessen i step 1 den kommer ikke videre Har forsøgt siden i går og genstart flere gange ,Stopper i rengøringsprocessen i step 1 den kommer ikke videre Har forsøgt siden i går og genstart flere gange,MB Maskinen skyller først 50ml vand ned til køleskabet og derefter begynder den at skylle kaffesystemet Der bør være løsningsforslag i fejlkodedokumentet ,126753;127791,Nej,Nej
WO042330,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Skærm blinker Maskine er genstartet og virker igen ,Skærm blinker Maskine er genstartet og virker igen,ASA Oprettet da Olivia fortæller at hun har været i dialog med Kjeld der sagde at hun skulle ringe sagen ind ,02816,Nej,Nej
WO042209,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Udføres først uge 15 jf Aftale med STR JOH  Udskiftning til ny komplet mælkeslange Kunden oplever stadig den periodisk melder tom beholder  Tjek gerne smag på kaffen samtidig med ,Udføres først uge 15 jf Aftale med STR JOH Udskiftning til ny komplet mælkeslange Kunden oplever stadig den periodisk melder tom beholder Tjek gerne smag på kaffen samtidig med,Det kan være stik til mælkeslangen som sidder i bunden af maskinen PKC ,128896,Nej,Nej
WO042208,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Udføres først uge 15 jf Aftale med STR JOH  Udskiftning til ny komplet mælkeslange Kunden oplever stadig den periodisk melder tom beholder  Tjek gerne smag på kaffen samtidig med ,Udføres først uge 15 jf Aftale med STR JOH Udskiftning til ny komplet mælkeslange Kunden oplever stadig den periodisk melder tom beholder Tjek gerne smag på kaffen samtidig med,Det kan være stik til mælkeslangen som sidder i bunden af maskinen PKC,128896,Nej,Nej
WO042203,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Melder fejl når de brygger kaffe `For stor kaffemængde 36` og at `bryggekammer kunne ikke lukkes efter formaling` Der kommer ingen kaffe ud ,Melder fejl når de brygger kaffe `For stor kaffemængde 36` og at `bryggekammer kunne ikke lukkes efter formaling` Der kommer ingen kaffe ud,,132102,Nej,Nej
WO042463,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Flere gæster har i går aftes sagt at kaffen smagte af sæbe De laver rengøring om aftenen ,Flere gæster har i går aftes sagt at kaffen smagte af sæbe De laver rengøring om aftenen,Hun vidste ikke hvordan den smagte i dag da ingen af dem i dag selv drikker kaffe ,,Ja,Nej
WO042453,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Fungere ikke optimalt kan ikke uddybe ,Fungere ikke optimalt kan ikke uddybe,,125723,Nej,Nej
WO042421,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Kommer vand ud under bunden af maskine Har svært ved at se om det kommer fra den til højre eller venstre maskine Kommer løbende mens den bliver brugt ,Kommer vand ud under bunden af maskine Har svært ved at se om det kommer fra den til højre eller venstre maskine Kommer løbende mens den bliver brugt,Noter serienummer på maskinen som det vedrører  det er den venstre sn b1 142708,1449089;108082,Nej,Nej
WO042403,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Skriver komponent fejl og virker ikke,Skriver komponent fejl og virker ikke,Meldt ind af Pia fra Kontra,128896;127140,Nej,Nej
WO042364,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Der udleveres ikke mælk Kan høre at mælkepumpen arbejder ,Der udleveres ikke mælk Kan høre at mælkepumpen arbejder,,126326;127042;127791;127042;126326,Nej,Nej
WO042400,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Flow virker ikke ,Flow virker ikke,Oprettet for KE,,Nej,Nej
WO042324,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Stopper til i kakaomixerskål Mixerskål har været ude og er rengjort ,Stopper til i kakaomixerskål Mixerskål har været ude og er rengjort,ASA Spurgt bogholderi da kunde ikke har betalt noget endnu MOB har sagt OK til denne kørsel ,,Ja,
WO042384,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Kommer vand ud af maskine Ligger fortil Står i kantine på Lyskærvej ,Kommer vand ud af maskine Ligger fortil Står i kantine på Lyskærvej,ASA U B se evt tidslinje om hvorfor ,,Ja,Nej
WO042356,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Vil ikke registrere rød rensenøgle Pind ser umiddelbart ikke knækket ud og forsøgt med genstart samt tørt rensenøgle af ,Vil ikke registrere rød rensenøgle Pind ser umiddelbart ikke knækket ud og forsøgt med genstart samt tørt rensenøgle af,,133555,Ja,Ja
WO042317,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,9 4 opdatering melder vandflowfejl Tager ikke mælk ind Suget er uden synlige blokeringer Gennemførte rengøringsprogram uden problemer i morges ,9 4 opdatering melder vandflowfejlTager ikke mælk ind Suget er uden synlige blokeringer Gennemførte rengøringsprogram uden problemer i morges,9 4 ASA Sparret med FK Info til Tina at besøg bliver 9 4 i løbet af eftermiddag Tina melder at de lukker kl 15 Jeg sms'er dette til FK ,119414;101224,Nej,Nej
WO042363,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Maskinen drypper vand under bunden ved rengøring og har gjort det en uges tid ,Maskinen drypper vand under bunden ved rengøring og har gjort det en uges tid,,,Nej,Nej
WO042313,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Røde rensenøgle er knækket ,Røde rensenøgle er knækket,,133555,Ja,Ja
WO042294,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Skærm flimrede og efter genstart melder den systemtid beskadiget ,Skærm flimrede og efter genstart melder den systemtid beskadiget,,,Nej,Nej
WO042243,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Drypper med vand under kakaodelen Har forsøgt at rengøre kakao ,Drypper med vand under kakaodelen Har forsøgt at rengøre kakao,,131816;124748,Måske,Nej
WO042298,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Røde pind bag rensenøgle er knækket ,Røde pind bag rensenøgle er knækket,,133555,Ja,Nej
WO042261,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Flyder over med vand under kaffemaskine Forrest venstre side Maskine har stået slukket i påsken og oplevet flere dage at der kommer vand under maskine billede i note ,Flyder over med vand under kaffemaskine Forrest venstre side Maskine har stået slukket i påsken og oplevet flere dage at der kommer vand under maskine billede i note,,,Ja,Ja
WO042197,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Melder vandflow fejl men kollega kunne godt tage kaffe Fejl kommer dog igen Mente hvis dut i underskabet var faldet ned og under maskine med ledning se billeder i note ,Melder vandflow fejl men kollega kunne godt tage kaffe Fejl kommer dog igen Mente hvis dut i underskabet var faldet ned og under maskine med ledningse billeder i note,,101984,Nej,Nej
WO042250,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,RGVyIGhhciB2aSB1ZGZvcmRyaW5nZXIgbWVkIGF0IGRlbiBwbHVkc2VsaWd0IGlra2UgcHV0dGVyIGRlbiByaWd0aWdlIG3Dpm5nZGUgbcOmbGsgaSBrb3BwZW4gKyBkZW4gbcOmbGsgZGVyIGtvbW1lciBpIGJsaXZlciBtZWdldCB0eW5kICBLYW4gZGV0IHbDpnJlIG5vZ2V0IGh2b3IgdmkgwpRiYXJlwpQgc2VsdiBnw6VyIGluZCBvZyBsYXZlciBub2dsZSBpbmRzdGlsbGluZ2VyIG9tIA==,Der har vi udfordringer med at den pludseligt ikke putter den rigtige mængde mælk i koppen + den mælk der kommer i bliver meget tynd Kan det være noget hvor vi ”bare” selv går ind og laver nogle indstillinger om,Er i land lørdag kl 11 15 HKN fejlet ikke noget ved ankomst ,,Nej,Nej
WO042251,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kakao stopper til Forsøgt med rengøring ,Kakao stopper til Forsøgt med rengøring,betale for motor da kakaobønnen er skyld i at den skal skiftes NRB  Lidt tvivlsomt om de har forsøgt at tage mixerskål ud og rengøre i dag Spurgte flere gange og hun gentog at maskinen havde fået rengøring i går  ej dækket af serviceaftale ,131816;124748,Ja,Ja
WO042099,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Ring til Omar inden 28 93 91 97 Maskinen smider meget vand i spildbakken og ved rens kommer der der også vand ud under maskinen ,Ring til Omar inden 28 93 91 97 Maskinen smider meget vand i spildbakken og ved rens kommer der der også vand ud under maskinen,Ring til Omar inden 28939197 ,132102;126285R,Nej,Nej
WO042140,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kakao flyder over forsøgt med rengøring før og efter påske ,Kakao flyder over forsøgt med rengøring før og efter påske,,,Ja,Nej
WO042147,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Skal genstarte rengøring da den ofte stopper i step 2 samt kommer vand fortil og melder komponentfejl Under bryg af kaffe har de også oplevet vandflowfejl ,Skal genstarte rengøring da den ofte stopper i step 2 samt kommer vand fortil og melder komponentfejl Under bryg af kaffe har de også oplevet vandflowfejl,,127751;126284,Nej,Ja
WO042104,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kommer vand ud under bunden fortil under rens og ved bryg af kaffe Taget spildbakke af og på ,Kommer vand ud under bunden fortil under rens og ved bryg af kaffe Taget spildbakke af og på,Bestilt nyt flowmeter ,1449089;126284,Nej,Nej
WO042153,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Løber mælk ud fra fronten af maskine ligner ved grumseskuffe Har ikke trukket drik med mælk men ser mælk kommer ud fra maskine ,Løber mælk ud fra fronten af maskine ligner ved grumseskuffe Har ikke trukket drik med mælk men ser mælk kommer ud fra maskine,,120698,Nej,Nej
WO042139,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Vores slange til mælkebeholderen trænger til at bliver grundig rengjort eller udskiftet da der er begyndt at danne sig skidt bakterier i den,Vores slange til mælkebeholderen trænger til at bliver grundig rengjort eller udskiftet da der er begyndt at danne sig skidt bakterier i den,ASA Der er billede i noten fra kunden ,127166,Ja,Nej
WO042088,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Kommer ingen skum ved eks cappuccino sprudler ved udlevering Synes også der kommer en lille smule mindre i latte ,Kommer ingen skum ved eks cappuccino sprudler ved udlevering Synes også der kommer en lille smule mindre i latte,,,Ja,Nej
WO042096,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Under rens bliver vand ved med at løbe ud ved mælkebeholder De har forsøgt rens to gange men begge gange vil den ikke stoppe med at give vand i beholder ,Under rens bliver vand ved med at løbe ud ved mælkebeholder De har forsøgt rens to gange men begge gange vil den ikke stoppe med at give vand i beholder,"MB fejl skyldes typisk at ""Milk Loop Valve"" under mælkepumpen ikke aktiveres korrekt Er dokumenteret i fejlkodedokumentet ",115953;127791,Nej,Ja
WO042042,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Køleskabstemperaturen bliver for høj så mælken bliver klumpet,Køleskabstemperaturen bliver for høj så mælken bliver klumpet,ASA Indmeldt af Kontra går ud fra at de har talt med kunden om hvorvidt køleksabet er tændt ,127129,Nej,Nej
WO042062,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Melder komponentfejl,Melder komponentfejl,,128896,Nej,Nej
WO041904,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Besøg tirsdag efter påske 02 02 2024 Mælkepumpen bliver ved med at køre efter endt mælkedrik Efter genstart kan den køre ok i 1 2 timer og så er det galt igen Filtersi til mælkesug trænger til udskiftning ,Besøg tirsdag efter påske 02022024 Mælkepumpen bliver ved med at køre efter endt mælkedrik Efter genstart kan den køre ok i 12 timer og så er det galt igen Filtersi til mælkesug trænger til udskiftning,MB Løsning er i fejlkodedokumentet Søg efter Maskinen bliver ved med at køre med vandpumpen efter mælkeprodukt,127605;126326;127791,Nej,Nej
WO042044,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kunde har oplyst at maskine gik i sort og vand løb ud bagved maskine Muligvis `vandslange` faldet af bag ved ,Kunde har oplyst at maskine gik i sort og vand løb ud bagved maskine Muligvis `vandslange` faldet af bag ved,Han havde lidt svært ved at beskrive men de har slukket for maskine Oplyst det bliver efter påske ,126313;1449089,Nej,Nej
WO042078,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Røde pind bag røde rensenøgle er knækket,Røde pind bag røde rensenøgle er knækket,Kode til tekniker Maskinen registrere ikke kafferensetabs Piston er knækket Se løsningsforslag i fejlkodedokumentet,133555,Ja,Nej
WO042024,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Maskinen er utæt under rens ,Maskinen er utæt under rens,BCA Der har ikke været nedbrud siden 05 12 2022 derfor er denne ikke faktureret kunde er informeret om at vi nok først kommer efter påske ,,Ja,Nej
WO042040,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC MDB interface,Vogn med maskine står tændt frem til kl 16 00 og køres frem igen til i morgen tidlig Melder flowfejl Er med vandtank og pumpe Pumpe er tændt men lyser rød ,Vogn med maskine står tændt frem til kl 1600 og køres frem igen til i morgen tidligMelder flowfejl Er med vandtank og pumpe Pumpe er tændt men lyser rød,ASA Har ringet før kl 12 så skal være som en lørdagskørsel U B dækket af aftalen ASA 3 4 Der var vand i da jeg talte med hende Jeg vidste ikke at der skal være meget vand i SÅ denne er U B for kunden læring instruks i brug af udstyr ,,Ja,Nej
WO042037,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Ved lille cappucino og mellem latte kommer der ikke rette mængde i kopperne Ved kaffedrikke uden mælk ser det korrekt ud ,Ved lille cappucino og mellem latte kommer der ikke rette mængde i kopperne Ved kaffedrikke uden mælk ser det korrekt ud,Efterspurgt om hun vil se mælkesug efter Og hun oplyste at rengøring var gjort i nat ,132878;126257,Nej,Nej
WO042028,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Ønsker at gøre brug af weekendaftale hvis ikke besøg kan blive indenfor normal arbejdstid Pind bag røde rensenøgle er knækket ,Ønsker at gøre brug af weekendaftale hvis ikke besøg kan blive indenfor normal arbejdstidPind bag røde rensenøgle er knækket,Kunden skal have en regning Det er en kunde fejl ,133555,Ja,Ja
WO041995,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Vil gerne kontaktes hvis ikke besøg før påske Drypper med vand inde i maskine bagved grumseskuffe Vil også gerne have skiftet filter ,Vil gerne kontaktes hvis ikke besøg før påske Drypper med vand inde i maskine bagved grumseskuffe Vil også gerne have skiftet filter,Lovede ikke at vi kom inden påske men han ville gerne vide besked ,126326,Nej,Ja
WO042005,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Opdatering er nu helt død Der er begyndt at komme en del vand i skuffen til kaffegrums ,Opdatering er nu helt dødDer er begyndt at komme en del vand i skuffen til kaffegrums,Svaret at vi muligvis først kommer efter påske NRB ASA 26 3 13 10 Kunde mailer at maskinen nu er helt død Jeg har svaret hendes mail Det er hermed noteret Hvis der kommer en åbning i planlægningen vil I blive prioriteret ,132102,Nej,Nej
WO041963,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Tappen i den røde rensenøgle er knækket af ,Tappen i den røde rensenøgle er knækket af,,133555,Ja,Nej
WO041941,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kaffemaskine laver ikke almindelig kaffe Melder kaffebeholder er tom selvom der er bønner i ,Kaffemaskine laver ikke almindelig kaffe Melder kaffebeholder er tom selvom der er bønner i,Kode til tekniker Coffee Coffee BrewChamber Brew chamber is empty Se løsningsforslag i fejlkodedokument HKN Kunden havde ikke lige tænk at det var en god ide at melde tilbage at de selv havde løst problemet ,,Ja,Ja
WO042002,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Når de vælger fx en stor latte 0 4 så kommer der kun en mellem 0 3 Ikke samme fejl som 25 3 da var rød stempel i rensenøgle knækket ,Når de vælger fx en stor latte 04 så kommer der kun en mellem 03Ikke samme fejl som 25 3 da var rød stempel i rensenøgle knækket,26 3 KAR jeg har snakket med Mathias det er på 0 4 latte og capp der er problemer med størrelse  måske skal recept justeres  Foam virkede fint 25 3 Tjek indsugningsrør for mælke trævl,,Nej,Nej
WO041957,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Tilstopper i kakao Forsøgt at rengøre uden held ,Tilstopper i kakao Forsøgt at rengøre uden held,,,Ja,Nej
WO041988,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Maskinen giver ikke nok mælk Som om mælkeslangen er stoppet til De kører rens hver dag ,Maskinen giver ikke nok mælk Som om mælkeslangen er stoppet til De kører rens hver dag,HKN gemmen gang af hvordan indsugningsrør afmonteres og rengøres ,,Ja,Nej
WO041920,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Melder system fejl har genstartet flere gange,Melder system fejl har genstartet flere gange,,129991,Nej,Nej
WO041994,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Køleskab er 22 grader har forsøgt at skrue ned i sidste uge men bliver ikke lavere ,Køleskab er 22 grader har forsøgt at skrue ned i sidste uge men bliver ikke lavere,Har før oplevet at den frøs mælken ,127129,Nej,Nej
WO041960,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Melder lav beholdning på mælk Sag 2 af 2 ,Melder lav beholdning på mælkSag 2 af 2,ASA Må vente til efter påske hvis det er muligt De har ikke skrevet at det haster eller lign ASA Meldt ind af JOH der har info kunden at vi skifter mælkesensor U B dækket af serviceaftale ,,Nej,Nej
