WO,Maskinkategori,Maskinbeskrivelse,Instruktion,Short_description,Teknikker_description,Reservedele,Kundefejl_mads,Faktureret
WO042330,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Skærm blinker Maskine er genstartet og virker igen,Skærm blinker Maskine er genstartet og virker igen,Skærm blinker Maskine er genstartet og virker igen,02816,Nej,Nej
WO042209,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Udføres først uge 15 jf Aftale med STR JOH Udskiftning til ny komplet mælkeslange Kunden oplever stadig den periodisk melder tom beholder Tjek gerne smag på kaffen samtidig med,Udføres først uge 15 jf Aftale med STR JOH Udskiftning til ny komplet mælkeslange Kunden oplever stadig den periodisk melder tom beholder Tjek gerne smag på kaffen samtidig med,Udføres først uge 15 jf Aftale med STR JOH Udskiftning til ny komplet mælkeslange Kunden oplever stadig den periodisk melder tom beholder Tjek gerne smag på kaffen samtidig med,128896,Nej,Nej
WO042208,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Udføres først uge 15 jf Aftale med STR JOH Udskiftning til ny komplet mælkeslange Kunden oplever stadig den periodisk melder tom beholder Tjek gerne smag på kaffen samtidig med,Udføres først uge 15 jf Aftale med STR JOH Udskiftning til ny komplet mælkeslange Kunden oplever stadig den periodisk melder tom beholder Tjek gerne smag på kaffen samtidig med,Udføres først uge 15 jf Aftale med STR JOH Udskiftning til ny komplet mælkeslange Kunden oplever stadig den periodisk melder tom beholder Tjek gerne smag på kaffen samtidig med,128896,Nej,Nej
WO042203,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Melder fejl når de brygger kaffe `For stor kaffemængde 36` og at `bryggekammer kunne ikke lukkes efter formaling` Der kommer ingen kaffe ud,Melder fejl når de brygger kaffe `For stor kaffemængde 36` og at `bryggekammer kunne ikke lukkes efter formaling` Der kommer ingen kaffe ud,Melder fejl når de brygger kaffe `For stor kaffemængde 36` og at `bryggekammer kunne ikke lukkes efter formaling` Der kommer ingen kaffe ud,132102,Nej,Nej
WO042463,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Flere gæster har i går aftes sagt at kaffen smagte af sæbe De laver rengøring om aftenen,Flere gæster har i går aftes sagt at kaffen smagte af sæbe De laver rengøring om aftenen,Flere gæster har i går aftes sagt at kaffen smagte af sæbe De laver rengøring om aftenen,,Ja,Nej
WO042453,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Fungere ikke optimalt kan ikke uddybe,Fungere ikke optimalt kan ikke uddybe,Fungere ikke optimalt kan ikke uddybe,125723,Nej,Nej
WO042421,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Kommer vand ud under bunden af maskine Har svært ved at se om det kommer fra den til højre eller venstre maskine Kommer løbende mens den bliver brugt,Kommer vand ud under bunden af maskine Har svært ved at se om det kommer fra den til højre eller venstre maskine Kommer løbende mens den bliver brugt,Kommer vand ud under bunden af maskine Har svært ved at se om det kommer fra den til højre eller venstre maskine Kommer løbende mens den bliver brugt,1449089;108082,Nej,Nej
WO042403,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Skriver komponent fejl og virker ikke,Skriver komponent fejl og virker ikke,Skriver komponent fejl og virker ikke,128896;127140,Nej,Nej
WO042364,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Der udleveres ikke mælk Kan høre at mælkepumpen arbejder,Der udleveres ikke mælk Kan høre at mælkepumpen arbejder,Der udleveres ikke mælk Kan høre at mælkepumpen arbejder,126326;127042;127791;127042;126326,Nej,Nej
WO042400,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Flow virker ikke,Flow virker ikke,Flow virker ikke,,Nej,Nej
WO042324,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Stopper til i kakaomixerskål Mixerskål har været ude og er rengjort,Stopper til i kakaomixerskål Mixerskål har været ude og er rengjort,Stopper til i kakaomixerskål Mixerskål har været ude og er rengjort,,Ja,
WO042384,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Kommer vand ud af maskine Ligger fortil Står i kantine på Lyskærvej,Kommer vand ud af maskine Ligger fortil Står i kantine på Lyskærvej,Kommer vand ud af maskine Ligger fortil Står i kantine på Lyskærvej,,Ja,Nej
WO042356,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Vil ikke registrere rød rensenøgle Pind ser umiddelbart ikke knækket ud og forsøgt med genstart samt tørt rensenøgle af,Vil ikke registrere rød rensenøgle Pind ser umiddelbart ikke knækket ud og forsøgt med genstart samt tørt rensenøgle af,Vil ikke registrere rød rensenøgle Pind ser umiddelbart ikke knækket ud og forsøgt med genstart samt tørt rensenøgle af,133555,Ja,Ja
WO042317,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,9 4 opdatering melder vandflowfejlTager ikke mælk ind Suget er uden synlige blokeringer Gennemførte rengøringsprogram uden problemer i morges,9 4 opdatering melder vandflowfejlTager ikke mælk ind Suget er uden synlige blokeringer Gennemførte rengøringsprogram uden problemer i morges,9 4 opdatering melder vandflowfejlTager ikke mælk ind Suget er uden synlige blokeringer Gennemførte rengøringsprogram uden problemer i morges,119414;101224,Nej,Nej
WO042363,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Maskinen drypper vand under bunden ved rengøring og har gjort det en uges tid,Maskinen drypper vand under bunden ved rengøring og har gjort det en uges tid,Maskinen drypper vand under bunden ved rengøring og har gjort det en uges tid,,Nej,Nej
WO042313,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Røde rensenøgle er knækket,Røde rensenøgle er knækket,Røde rensenøgle er knækket,133555,Ja,Ja
WO042294,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Skærm flimrede og efter genstart melder den systemtid beskadiget,Skærm flimrede og efter genstart melder den systemtid beskadiget,Skærm flimrede og efter genstart melder den systemtid beskadiget,,Nej,Nej
WO042243,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Drypper med vand under kakaodelen Har forsøgt at rengøre kakao,Drypper med vand under kakaodelen Har forsøgt at rengøre kakao,Drypper med vand under kakaodelen Har forsøgt at rengøre kakao,131816;124748,Måske,Nej
WO042298,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Røde pind bag rensenøgle er knækket,Røde pind bag rensenøgle er knækket,Røde pind bag rensenøgle er knækket,133555,Ja,Nej
WO042261,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Flyder over med vand under kaffemaskine Forrest venstre side Maskine har stået slukket i påsken og oplevet flere dage at der kommer vand under maskine billede i note,Flyder over med vand under kaffemaskine Forrest venstre side Maskine har stået slukket i påsken og oplevet flere dage at der kommer vand under maskine billede i note,Flyder over med vand under kaffemaskine Forrest venstre side Maskine har stået slukket i påsken og oplevet flere dage at der kommer vand under maskine billede i note,,Ja,Ja
WO042197,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Melder vandflow fejl men kollega kunne godt tage kaffe Fejl kommer dog igen Mente hvis dut i underskabet var faldet ned og under maskine med ledningse billeder i note,Melder vandflow fejl men kollega kunne godt tage kaffe Fejl kommer dog igen Mente hvis dut i underskabet var faldet ned og under maskine med ledningse billeder i note,Melder vandflow fejl men kollega kunne godt tage kaffe Fejl kommer dog igen Mente hvis dut i underskabet var faldet ned og under maskine med ledningse billeder i note,101984,Nej,Nej
WO042250,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Der har vi udfordringer med at den pludseligt ikke putter den rigtige mængde mælk i koppen + den mælk der kommer i bliver meget tynd Kan det være noget hvor vi ”bare” selv går ind og laver nogle indstillinger om,Der har vi udfordringer med at den pludseligt ikke putter den rigtige mængde mælk i koppen + den mælk der kommer i bliver meget tynd Kan det være noget hvor vi ”bare” selv går ind og laver nogle indstillinger om,Der har vi udfordringer med at den pludseligt ikke putter den rigtige mængde mælk i koppen + den mælk der kommer i bliver meget tynd Kan det være noget hvor vi ”bare” selv går ind og laver nogle indstillinger om,,Nej,Nej
WO042251,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kakao stopper til Forsøgt med rengøring,Kakao stopper til Forsøgt med rengøring,Kakao stopper til Forsøgt med rengøring,131816;124748,Ja,Ja
WO042099,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Ring til Omar inden 28 93 91 97 Maskinen smider meget vand i spildbakken og ved rens kommer der der også vand ud under maskinen,Ring til Omar inden 28 93 91 97 Maskinen smider meget vand i spildbakken og ved rens kommer der der også vand ud under maskinen,Ring til Omar inden 28 93 91 97 Maskinen smider meget vand i spildbakken og ved rens kommer der der også vand ud under maskinen,132102;126285R,Nej,Nej
WO042140,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kakao flyder over forsøgt med rengøring før og efter påske,Kakao flyder over forsøgt med rengøring før og efter påske,Kakao flyder over forsøgt med rengøring før og efter påske,,Ja,Nej
WO042147,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Skal genstarte rengøring da den ofte stopper i step 2 samt kommer vand fortil og melder komponentfejl Under bryg af kaffe har de også oplevet vandflowfejl,Skal genstarte rengøring da den ofte stopper i step 2 samt kommer vand fortil og melder komponentfejl Under bryg af kaffe har de også oplevet vandflowfejl,Skal genstarte rengøring da den ofte stopper i step 2 samt kommer vand fortil og melder komponentfejl Under bryg af kaffe har de også oplevet vandflowfejl,127751;126284,Nej,Ja
WO042104,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kommer vand ud under bunden fortil under rens og ved bryg af kaffe Taget spildbakke af og på,Kommer vand ud under bunden fortil under rens og ved bryg af kaffe Taget spildbakke af og på,Kommer vand ud under bunden fortil under rens og ved bryg af kaffe Taget spildbakke af og på,1449089;126284,Nej,Nej
WO042153,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Løber mælk ud fra fronten af maskine ligner ved grumseskuffe Har ikke trukket drik med mælk men ser mælk kommer ud fra maskine,Løber mælk ud fra fronten af maskine ligner ved grumseskuffe Har ikke trukket drik med mælk men ser mælk kommer ud fra maskine,Løber mælk ud fra fronten af maskine ligner ved grumseskuffe Har ikke trukket drik med mælk men ser mælk kommer ud fra maskine,120698,Nej,Nej
WO042139,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Vores slange til mælkebeholderen trænger til at bliver grundig rengjort eller udskiftet da der er begyndt at danne sig skidt bakterier i den,Vores slange til mælkebeholderen trænger til at bliver grundig rengjort eller udskiftet da der er begyndt at danne sig skidt bakterier i den,Vores slange til mælkebeholderen trænger til at bliver grundig rengjort eller udskiftet da der er begyndt at danne sig skidt bakterier i den,127166,Ja,Nej
WO042088,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Kommer ingen skum ved eks cappuccino sprudler ved udlevering Synes også der kommer en lille smule mindre i latte,Kommer ingen skum ved eks cappuccino sprudler ved udlevering Synes også der kommer en lille smule mindre i latte,Kommer ingen skum ved eks cappuccino sprudler ved udlevering Synes også der kommer en lille smule mindre i latte,,Ja,Nej
WO042096,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Under rens bliver vand ved med at løbe ud ved mælkebeholder De har forsøgt rens to gange men begge gange vil den ikke stoppe med at give vand i beholder,Under rens bliver vand ved med at løbe ud ved mælkebeholder De har forsøgt rens to gange men begge gange vil den ikke stoppe med at give vand i beholder,Under rens bliver vand ved med at løbe ud ved mælkebeholder De har forsøgt rens to gange men begge gange vil den ikke stoppe med at give vand i beholder,115953;127791,Nej,Ja
WO042042,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Køleskabstemperaturen bliver for høj så mælken bliver klumpet,Køleskabstemperaturen bliver for høj så mælken bliver klumpet,Køleskabstemperaturen bliver for høj så mælken bliver klumpet,127129,Nej,Nej
WO042062,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Melder komponentfejl,Melder komponentfejl,Melder komponentfejl,128896,Nej,Nej
WO041904,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Besøg tirsdag efter påske 02022024 Mælkepumpen bliver ved med at køre efter endt mælkedrik Efter genstart kan den køre ok i 12 timer og så er det galt igen Filtersi til mælkesug trænger til udskiftning,Besøg tirsdag efter påske 02022024 Mælkepumpen bliver ved med at køre efter endt mælkedrik Efter genstart kan den køre ok i 12 timer og så er det galt igen Filtersi til mælkesug trænger til udskiftning,Besøg tirsdag efter påske 02022024 Mælkepumpen bliver ved med at køre efter endt mælkedrik Efter genstart kan den køre ok i 12 timer og så er det galt igen Filtersi til mælkesug trænger til udskiftning,127605;126326;127791,Nej,Nej
WO042044,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kunde har oplyst at maskine gik i sort og vand løb ud bagved maskine Muligvis `vandslange` faldet af bag ved,Kunde har oplyst at maskine gik i sort og vand løb ud bagved maskine Muligvis `vandslange` faldet af bag ved,Kunde har oplyst at maskine gik i sort og vand løb ud bagved maskine Muligvis `vandslange` faldet af bag ved,126313;1449089,Nej,Nej
WO042078,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Røde pind bag røde rensenøgle er knækket,Røde pind bag røde rensenøgle er knækket,Røde pind bag røde rensenøgle er knækket,133555,Ja,Nej
WO042024,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Maskinen er utæt under rens,Maskinen er utæt under rens,Maskinen er utæt under rens,,Ja,Nej
WO042040,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC MDB interface,Vogn med maskine står tændt frem til kl 1600 og køres frem igen til i morgen tidligMelder flowfejl Er med vandtank og pumpe Pumpe er tændt men lyser rød,Vogn med maskine står tændt frem til kl 1600 og køres frem igen til i morgen tidligMelder flowfejl Er med vandtank og pumpe Pumpe er tændt men lyser rød,Vogn med maskine står tændt frem til kl 1600 og køres frem igen til i morgen tidligMelder flowfejl Er med vandtank og pumpe Pumpe er tændt men lyser rød,,Ja,Nej
WO042037,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Ved lille cappucino og mellem latte kommer der ikke rette mængde i kopperne Ved kaffedrikke uden mælk ser det korrekt ud,Ved lille cappucino og mellem latte kommer der ikke rette mængde i kopperne Ved kaffedrikke uden mælk ser det korrekt ud,Ved lille cappucino og mellem latte kommer der ikke rette mængde i kopperne Ved kaffedrikke uden mælk ser det korrekt ud,132878;126257,Nej,Nej
WO042028,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Ønsker at gøre brug af weekendaftale hvis ikke besøg kan blive indenfor normal arbejdstidPind bag røde rensenøgle er knækket,Ønsker at gøre brug af weekendaftale hvis ikke besøg kan blive indenfor normal arbejdstidPind bag røde rensenøgle er knækket,Ønsker at gøre brug af weekendaftale hvis ikke besøg kan blive indenfor normal arbejdstidPind bag røde rensenøgle er knækket,133555,Ja,Ja
WO041995,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Vil gerne kontaktes hvis ikke besøg før påske Drypper med vand inde i maskine bagved grumseskuffe Vil også gerne have skiftet filter,Vil gerne kontaktes hvis ikke besøg før påske Drypper med vand inde i maskine bagved grumseskuffe Vil også gerne have skiftet filter,Vil gerne kontaktes hvis ikke besøg før påske Drypper med vand inde i maskine bagved grumseskuffe Vil også gerne have skiftet filter,126326,Nej,Ja
WO042005,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Opdatering er nu helt dødDer er begyndt at komme en del vand i skuffen til kaffegrums,Opdatering er nu helt dødDer er begyndt at komme en del vand i skuffen til kaffegrums,Opdatering er nu helt dødDer er begyndt at komme en del vand i skuffen til kaffegrums,132102,Nej,Nej
WO041963,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Tappen i den røde rensenøgle er knækket af,Tappen i den røde rensenøgle er knækket af,Tappen i den røde rensenøgle er knækket af,133555,Ja,Nej
WO041941,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kaffemaskine laver ikke almindelig kaffe Melder kaffebeholder er tom selvom der er bønner i,Kaffemaskine laver ikke almindelig kaffe Melder kaffebeholder er tom selvom der er bønner i,Kaffemaskine laver ikke almindelig kaffe Melder kaffebeholder er tom selvom der er bønner i,,Ja,Ja
WO042002,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Når de vælger fx en stor latte 04 så kommer der kun en mellem 03Ikke samme fejl som 25 3 da var rød stempel i rensenøgle knækket,Når de vælger fx en stor latte 04 så kommer der kun en mellem 03Ikke samme fejl som 25 3 da var rød stempel i rensenøgle knækket,Når de vælger fx en stor latte 04 så kommer der kun en mellem 03Ikke samme fejl som 25 3 da var rød stempel i rensenøgle knækket,,Nej,Nej
